State/UTs,Total Cases,Active,Discharged,Deaths,Active Ratio,Discharge Ratio,Death Ratio,Population
Andaman and Nicobar,10747,0,10618,129,0.0,98.8,1.2,100896618
Andhra Pradesh,2339078,7,2324338,14733,0.0,99.37,0.63,128500364
Arunachal Pradesh,66891,0,66595,296,0.0,99.56,0.44,658019
Assam,746100,0,738065,8035,0.0,98.92,1.08,290492
Bihar,851404,1,839100,12303,0.0,98.55,1.45,40100376
Chandigarh,99358,3,98174,1181,0.0,98.81,1.19,30501026
Chhattisgarh,1177768,8,1163614,14146,0.0,98.8,1.2,28900667
Dadra and Nagar Haveli and Daman and Diu,11591,0,11587,4,0.0,99.97,0.03,231502578
Delhi,2007313,10,1980781,26522,0.0,98.68,1.32,773997
Goa,259110,15,255082,4013,0.01,98.45,1.55,3772103
